Provider Name,Address,Latitude,Longitude
Alhambra Hospital Medical Center,"100 South Raymond Avenue, ALHAMBRA CA, 91801.0",34.0906374,-118.1437545
AHMC Anaheim Regional Medical Center LP,"1111 W La Palma Ave, ANAHEIM CA, 92801.0",33.8480384,-117.9335044
USC Arcadia Hospital,"300 W HUNTINGTON DR, ARCADIA CA, 91007.0",34.1344486,-118.0416623
Sutter Auburn Faith Hospital,"11815 Education Street, AUBURN CA, 95602.0",38.9452952,-121.1006825
Bear Valley Community Healthcare District,"41870 Garstin Drive, BIG BEAR LAKE CA, 92315.0",34.2464722,-116.8883656
Southern California Hospital at Culver City,"3828 Delmas Terrace, CULVER CITY CA, 90232.0",34.0232001,-118.3969128
California Hospital Medical Center,"1401 South Grand Avenue, LOS ANGELES CA, 90015.0",34.0373967,-118.2657271
California Hospital Medical Center,"1401 South Grand Avenue, LOS ANGELES CA, 90015.0",34.0373967,-118.2657271
Centinela Hospital Medical Center,"555 E. Hardy St., INGLEWOOD CA, 90301.0",33.9504198,-118.3481987
Chapman Global Medical Center,"2601 East Chapman Avenue, ORANGE CA, 92869.0",33.7886124,-117.8262888
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Rady Children's Hospital - San Diego,"3020 Children's Way, PMB 5099, SAN DIEGO CA, 92123.0",32.7977575,-117.151407
Chino Valley Medical Center,"5451 Walnut Ave, CHINO CA, 91710.0",34.02551589999999,-117.6860029
South Coast Global Medical Center,"2701 South Bristol Street, SANTA ANA CA, 92704.0",33.7110718,-117.8840314
Desert Regional Medical Center,"1150 North Indian Canyon Drive, PALM SPRINGS CA, 92262.0",33.8386098,-116.5431987
Desert Regional Medical Center,"1150 North Indian Canyon Drive, PALM SPRINGS CA, 92262.0",33.8386098,-116.5431987
Desert Regional Medical Center,"1150 North Indian Canyon Drive, PALM SPRINGS CA, 92262.0",33.8386098,-116.5431987
Desert Regional Medical Center,"1150 North Indian Canyon Drive, PALM SPRINGS CA, 92262.0",33.8386098,-116.5431987
